Nome,Data_de_nascimento,Nacionalidade,Genero,Maior_sucesso,Grupo_ou_Carreira_solo,Quantidade_de_albuns,Tempo_de_carreira,
Leslie West,22/10/1945,Americano,Hard rock,Mississippi Queen,The Vagrants,18,50,
John McLaughlin,04/01/1942,Britânico,Jazz fusion,Birds of Fire,Mahavishnu Orchestra,30,60,
Richard Thompson,03/04/1949,Britânico,Folk rock,Meet on the Ledge,Fairport Convention,31,55,
Jack White,09/07/1975,Americano,Garage rock revival,Seven Nation Army,The White Stripes,17,25,
Robert Johnson,08/05/1911,Americano,Delta blues,Cross Road Blues,Carreira solo,0,9,
John Frusciante,05/03/1970,Americano,Alternative rock,Californication,Red Hot Chili Peppers,17,35,
Kurt Cobain,20/02/1967,Americano,Grunge,Smells Like Teen Spirit,Nirvana,3,7,
Dick Dale,04/05/1937,Americano,Surf rock,Misirlou,Dick Dale and His Del-Tones,13,60,
Joni Mitchell,7/11/1943,Canadense,Folk,Big Yellow Taxi,Carreira solo,19,55,
Robby Krieger,08/01/1946,Americano,Rock psicodélico,Light My Fire,The Doors,19,60,
Willie Nelson,29/04/1933,Americano,Country (outlaw country),On the Road Again,Carreira solo,70,65,
John Fahey,28/02/1939,Americano,American Primitivism,Blind Joe Death,Carreira solo,24,40,
Mike Campbell,01/02/1950,Americano,Rock,American Girl,Tom Petty and the Heartbreakers,17,50,
Buddy Holly,7/9/1936,Americano,Rock and roll,Peggy Sue,Buddy Holly and The Crickets,3,7,
Lou Reed,02/03/1942,Americano,Art rock,Sweet Jane,The Velvet Underground,25,50,
Nels Cline,04/01/1956,Americano,Jazz,Impossible Germany,Wilco,14,45,
Eddie Hazel,10/04/1950,Americano,Funk,Maggot Brain,Parliament-Funkadelic (P-Funk),8,23,
Joe Perry,10/09/1950,Americano,Hard rock,Dream On,Aerosmith,22,50,
Andy Summers,31/12/1942,Britânico,New wave,Roxanne,The Police,15,60,
J Mascis,10/12/1965,Americano,Alternative rock,Freak Scene,Dinosaur Jr.,12,40,
James Hetfield,03/08/1963,Americano,Thrash metal,Enter Sandman,Metallica,11,40,
Carl Perkins,09/04/1932,Americano,Rockabilly,Blue Suede Shoes,Carreira solo,9,45,
Bonnie Raitt,8/11/1949,Americana,Blues rock,Something to Talk About,Carreira solo,18,55,
Thom Verlaine,13/12/1949,Americano,Punk rock,Marquee Moon,Television,11,50,
Dave Davies,03/02/1947,Britânico,Rock,You Really Got Me,The Kinks,28,60,
Dimebag Darrell,20/08/1966,Americano,Groove metal,Walk,Pantera,7,24,
Paul Simon,13/10/1941,Americano,Folk,The Sound of Silence,Simon & Garfunkel,20,65,
Peter Buck,6/12/1956,Americano,Alternative rock,Losing My Religion,R.E.M.,18,45,
Roger McGuinn,13/07/1942,Americano,Folk rock,Mr. Tambourine Man,The Byrds,18,60,
Bruce Springsteen,23/09/1949,Americano,Rock,Born to Run,Carreira solo,20,55,
Steve Jones,03/09/1955,Britânico,Punk rock,Anarchy in the U.K.,Sex Pistols,5,45,
Alex Lifeson,27/08/1953,Canadense,Rock progressivo,Tom Sawyer,Rush,21,50,
Thurston Moore,25/07/1958,Americano,Noise rock,Teen Age Riot,Sonic Youth,25,45,
Lindse Buckingham,3/10/1949,Americano,Rock,Go Your Own Way,Fleetwood Mac,16,55,
T Bone Walker,28/05/1910,Americano,Blues,Call It Stormy Monday,Carreira solo,20,45,
